E11f,E22f,nu12f,G12f,G23f,EM,num,Vf,E11,E22,NU12,G12,G23
512.4432664,12.45159005,0.381632441,2.417753845,9.124930598,6.511031862,0.329773309,0.6887,354.9465618,10.7785898,0.365488693,2.422875395,6.233048928
299.2621176,21.58408458,0.341483814,16.25857053,12.92692155,18.35317287,0.324202405,0.6946,213.4725259,20.96918943,0.336206072,13.28062301,11.2982756
347.9697309,14.57225416,0.367301126,4.768666185,9.746471627,3.420512767,0.325595826,0.502,176.3842203,7.471800285,0.346531887,2.670223085,3.348766901
265.2880151,15.67268442,0.22031126,15.82184426,8.474858777,18.02214703,0.355017969,0.502,142.1496128,16.29175366,0.287395201,11.28518525,7.847250256
594.6063258,24.66040671,0.335205776,17.54428816,16.21505995,10.55243661,0.347927044,0.3035,187.812792,15.40882098,0.344066139,6.843154448,6.724699338
222.0287491,11.45319365,0.236567652,19.70832309,6.466844341,19.66693221,0.386932845,0.6946,160.2274502,12.30954449,0.282489182,15.20174741,6.562940426
263.7694612,15.90585547,0.342603552,30.1406559,11.15129729,9.537769445,0.479715601,0.3035,86.69708789,12.23673062,0.438102094,6.344190294,5.29802209
223.5756683,20.45560424,0.372782977,7.207792596,11.62580807,15.86774972,0.34435413,0.3035,78.90710301,18.10476861,0.352982285,6.556148057,8.098285079
487.0805073,16.64995161,0.342880318,37.22355966,12.34221325,16.80638285,0.390450096,0.4027,206.1857728,16.70677491,0.371293746,12.90125741,8.938165292
590.8753628,13.38914854,0.224139517,27.70891574,9.918597984,1.465443122,0.445097606,0.3035,180.3513537,2.876866682,0.378036826,1.104245946,1.062409852
325.8550798,20.03731782,0.30647826,16.63323009,12.49048575,16.04327551,0.41631044,0.3035,110.0711581,18.02235871,0.382976373,8.895757595,8.103831092
162.8628327,23.6033184,0.262900528,15.71351152,14.20517122,7.600634844,0.361774713,0.6012,100.9442682,16.02459486,0.302331553,7.702025324,7.403268692
200.6119855,29.24791305,0.382414226,4.42861427,15.72006909,17.19650107,0.376598291,0.502,109.2710743,24.28681521,0.37951789,4.839020706,10.90064865
215.2187555,10.30314599,0.387687507,10.95184838,6.620681669,16.14561888,0.425326445,0.4027,96.312371,11.8731159,0.410169245,8.16590936,6.235730761
584.5902014,21.82580562,0.33720445,27.9547225,13.19400064,16.22041951,0.353514809,0.4027,245.1029307,19.37870006,0.346946627,11.94965006,9.167537939
387.3918172,16.08045236,0.317665193,37.31605511,10.30469917,19.71165113,0.403558238,0.4961,202.1177815,17.00671611,0.360946698,16.39903285,9.053393622
360.4312947,16.99036592,0.283369418,24.00785212,11.45518237,3.859438758,0.303447414,0.3035,112.078997,6.721032795,0.297353742,3.064755866,2.845470285
488.4993108,21.40523998,0.308163915,33.74359074,13.81054605,13.01343852,0.45448589,0.4027,204.4915993,17.32321055,0.395562031,9.951317709,7.834996024
431.3249625,27.00879542,0.394434811,26.22545118,18.62064079,0.626190939,0.417081584,0.4027,174.0685862,1.647323719,0.407961729,0.595921861,0.592432948
393.6761329,18.50796455,0.294995976,31.77469308,11.56136395,1.135865105,0.388042412,0.7004,276.0710687,5.296325158,0.322872688,2.353153391,2.123094013
591.6832542,19.55509031,0.22778399,24.47059475,11.28237942,9.991015577,0.461892722,0.6012,359.7043894,16.094325,0.321146552,10.26466241,7.437164241
405.1055271,15.09644222,0.398920347,9.511436594,9.579455034,12.56961709,0.441115101,0.4027,170.6438281,14.06337782,0.424123274,6.644161896,6.66514067
184.6129141,22.36906127,0.379262722,36.4344308,13.30850642,19.42453542,0.48290764,0.502,102.3491015,21.42250932,0.430877891,15.63701657,10.2309653
535.9911032,28.32171081,0.234453779,36.20944144,17.29001505,0.572527653,0.33957217,0.4027,216.185588,1.513655235,0.297240994,0.578878316,0.572522643
503.2297781,11.96670854,0.286061119,36.72851935,8.582169919,17.44430434,0.332267771,0.4027,213.0701146,13.51775784,0.313660352,13.68120872,7.70667611
189.6419899,23.83448381,0.285758124,12.37968978,12.87240367,11.21345518,0.38139192,0.4027,83.06662611,16.88853146,0.34288019,7.077577206,7.177245872
